host_identity_verified,bedrooms,neighbourhood_cleansed,calculated_host_listings_count_shared_rooms,host_total_listings_count,neighbourhood_group_cleansed,has_availability,calculated_host_listings_count_private_rooms,calculated_host_listings_count_entire_homes,maximum_nights_avg_ntm,maximum_nights,accommodates,host_is_superhost,availability_365,minimum_nights_avg_ntm,price,instant_bookable,bathrooms
t,1.0,Williamsburg,0,1.0,Brooklyn,t,0,1,365.0,365,2,f,0,30.0,80.0,f,1.0
t,1.0,Upper West Side,0,1.0,Manhattan,t,1,0,365.0,365,2,f,292,30.0,88.0,f,1.0
t,1.0,Harlem,0,1.0,Manhattan,t,1,0,60.0,60,1,f,365,30.0,99.0,f,1.0
t,1.0,Chelsea,0,2.0,Manhattan,t,2,0,1125.0,1125,2,f,336,30.0,85.0,f,1.0
t,1.0,Carroll Gardens,0,5.0,Brooklyn,t,0,3,45.0,45,2,f,349,3.2,180.0,f,1.0
t,3.0,West Village,0,2.0,Manhattan,t,1,1,29.0,29,4,t,217,7.0,500.0,f,2.0
t,4.0,Park Slope,0,1.0,Brooklyn,t,0,1,180.0,180,5,f,288,30.0,220.0,f,3.0
t,1.0,Williamsburg,0,1.0,Brooklyn,t,0,1,100.0,100,4,f,0,30.0,83.0,f,1.0
t,1.0,Harlem,0,1.0,Manhattan,t,1,0,1125.0,1125,2,f,275,1.0,100.0,f,1.0
t,1.0,Hell's Kitchen,0,2.0,Manhattan,t,2,0,1125.0,25,1,t,274,2.0,89.0,f,
t,1.0,South Slope,0,2.0,Brooklyn,t,0,2,1125.0,365,3,t,144,30.0,90.0,t,1.0
t,2.0,Upper West Side,0,1.0,Manhattan,t,0,1,30.0,30,4,f,222,30.0,225.0,f,1.5
t,1.0,Harlem,0,1.0,Manhattan,t,0,1,20.0,20,6,t,324,2.0,170.0,f,1.0
t,,East Village,0,1.0,Manhattan,t,0,1,365.0,365,3,f,0,30.0,100.0,f,1.0
t,2.0,Prospect-Lefferts Gardens,0,1.0,Brooklyn,t,1,0,1095.0,1095,2,f,299,2.0,75.0,f,1.0
f,1.0,Upper East Side,0,1.0,Manhattan,t,0,1,30.0,30,4,f,306,30.0,150.0,f,1.0
t,1.0,Bedford-Stuyvesant,0,0.0,Brooklyn,t,4,0,730.0,730,2,t,222,30.0,80.0,f,1.0
t,1.0,Clinton Hill,0,1.0,Brooklyn,t,1,0,90.0,90,2,t,303,3.0,89.0,f,1.0
t,1.0,Lower East Side,0,1.0,Manhattan,t,1,1,1125.0,1125,3,f,310,30.0,185.0,f,1.0
t,1.0,Hell's Kitchen,0,3.0,Manhattan,t,3,1,292.3,360,1,t,342,28.5,141.0,f,1.0
t,,West Village,0,1.0,Manhattan,t,0,1,59.0,59,2,t,0,30.0,135.0,f,1.0
t,3.0,East Flatbush,0,1.0,Brooklyn,t,1,0,90.0,90,2,f,178,30.0,80.0,f,1.0
t,1.0,Clinton Hill,0,3.0,Brooklyn,t,2,0,1125.0,365,2,f,330,2.0,91.0,t,1.0
t,1.0,Clinton Hill,0,4.0,Brooklyn,t,1,0,730.0,730,3,f,356,30.0,139.0,f,1.5
f,1.0,East Village,0,1.0,Manhattan,t,0,1,30.0,30,1,f,306,14.0,160.0,f,1.0
t,1.0,Williamsburg,0,1.0,Brooklyn,t,0,1,60.0,60,2,t,290,4.0,195.0,f,1.0
t,2.0,East Village,0,2.0,Manhattan,t,0,1,1125.0,1125,3,f,175,1.0,125.0,f,1.0
t,1.0,Upper West Side,0,11.0,Manhattan,t,0,1,180.0,180,2,f,263,120.0,139.0,f,1.0
t,2.0,Prospect Heights,0,1.0,Brooklyn,t,0,1,60.0,60,4,f,338,30.0,121.0,f,1.0
t,1.0,East Harlem,0,1.0,Manhattan,t,1,0,999.0,999,2,f,317,3.9,68.0,f,1.0
t,1.0,West Village,0,1.0,Manhattan,t,0,1,1125.0,1125,2,f,307,30.0,200.0,f,1.0
t,5.0,Boerum Hill,0,1.0,Brooklyn,t,0,1,60.0,60,13,f,236,3.0,675.0,f,2.5
t,1.0,Williamsburg,0,2.0,Brooklyn,t,1,0,1125.0,45,2,f,22,7.0,65.0,f,1.0
t,1.0,Sunnyside,0,1.0,Queens,t,1,0,90.0,90,1,f,303,90.0,78.0,f,1.0
t,1.0,Bedford-Stuyvesant,0,2.0,Brooklyn,t,0,2,30.0,30,4,f,0,30.0,135.0,f,1.0
f,2.0,Lower East Side,0,1.0,Manhattan,t,0,1,30.0,30,4,f,297,5.2,500.0,f,2.0
t,1.0,Carroll Gardens,0,5.0,Brooklyn,t,0,3,45.0,45,2,f,336,4.1,179.0,f,1.0
t,1.0,Tribeca,0,2.0,Manhattan,t,0,1,90.0,90,6,f,304,30.0,250.0,f,1.0
t,1.0,Fort Greene,0,2.0,Brooklyn,t,2,0,30.0,30,2,f,365,30.0,110.0,f,1.0
t,1.0,West Village,0,3.0,Manhattan,t,0,1,365.0,365,2,f,2,30.0,146.0,f,1.0
